x_station,y_station,priceB
罗湖,罗湖,6
罗湖,国贸,6
罗湖,老街,6
罗湖,大剧院,6
罗湖,科学馆,7
罗湖,华强路,7
罗湖,岗厦,7
罗湖,会展中心,7
罗湖,购物公园,8
罗湖,香蜜湖,8
罗湖,车公庙,8
罗湖,竹子林,8
罗湖,侨城东,9
罗湖,华侨城,9
罗湖,世界之窗,9
罗湖,白石洲,9
罗湖,高新园,10
罗湖,深大,10
罗湖,桃园,10
罗湖,大新,10
罗湖,鲤鱼门,13
罗湖,前海湾,17
罗湖,新安,17
罗湖,宝安中心,17
罗湖,宝体,17
罗湖,坪洲,17
罗湖,西乡,18
罗湖,固戍,18
罗湖,后瑞,18
罗湖,机场东,19
罗湖,赤湾,15
罗湖,蛇口港,15
罗湖,海上世界,15
罗湖,水湾,15
罗湖,东角头,15
罗湖,湾厦,14
罗湖,海月,14
罗湖,登良,14
罗湖,后海,14
罗湖,科苑,10
罗湖,红树湾,10
罗湖,侨城北,9
罗湖,深康,9
罗湖,安托山,9
罗湖,侨香,9
罗湖,香蜜,9
罗湖,香梅北,9
罗湖,景田,8
罗湖,莲花西,8
罗湖,福田,8
罗湖,市民中心,7
罗湖,岗厦北,7
罗湖,华强北,7
罗湖,燕南,7
罗湖,湖贝,7
罗湖,黄贝岭,7
罗湖,新秀,7
罗湖,莲塘口岸,8
罗湖,仙湖路,8
罗湖,莲塘,8
罗湖,梧桐山南,9
罗湖,沙头角,9
罗湖,海山,10
罗湖,盐田港西,10
罗湖,深外高中,10
罗湖,盐田路,10
罗湖,鸿安围,11
罗湖,盐田墟,11
罗湖,大梅沙,11
罗湖,小梅沙,11
罗湖,福保,8
罗湖,益田,8
罗湖,石厦,8
罗湖,少年宫,7
罗湖,莲花村,7
罗湖,华新,7
罗湖,通新岭,6
罗湖,红岭,6
罗湖,晒布,6
罗湖,翠竹,6
罗湖,田贝,7
罗湖,水贝,7
罗湖,草埔,7
罗湖,布吉,8
罗湖,木棉湾,8
罗湖,大芬,9
罗湖,丹竹头,9
罗湖,六约,9
罗湖,塘坑,10
罗湖,横岗,10
罗湖,永湖,10
罗湖,荷坳,11
罗湖,大运,11
罗湖,爱联,11
罗湖,吉祥,11
罗湖,龙城广场,11
罗湖,南联,11
罗湖,双龙,12
罗湖,福田口岸,8
罗湖,福民,8
罗湖,莲花北,8
罗湖,上梅林,8
罗湖,民乐,9
罗湖,白石龙,9
罗湖,深圳北站,9
罗湖,红山,9
罗湖,上塘,10
罗湖,龙胜,10
罗湖,龙华,10
罗湖,清湖,10
罗湖,清湖北,10
罗湖,竹村,11
罗湖,茜坑,11
罗湖,长湖,11
罗湖,观澜,11
罗湖,松元厦,11
罗湖,观澜湖,11
罗湖,牛湖,12
罗湖,荔湾,17
